Report Date	Report Range																																
10/8/2015	1/1/2011 - 10/8/2015																																
																																	
																																	
Community Summary																																	
Name	Muni	Launch Date	Property Count	Applications Submitted	Applications Approved	Applications Approved Amount ($)	Approved Projects	Approved Projects Amount ($)	Completed Projects	Completed Projects Amount ($)	Funded Projects	Funded Projects Amount ($)	Annual Energy Savings ($)	Lifetime Energy Savings ($)	Annual Energy Savings (kWh)	Lifetime Energy Savings (kWh)	Annual Water Savings (gal)	Lifetime Water Savings (gal)	Annual Water Bill Savings ($)	Lifetime Water Bill Savings ($)	Annual Emission Reduction (ton)	Lifetime Emission Reduction (ton)	Economic Impact ($)	Renewable Generation (kWh)	Therms Saved (therm)	kWh Saved	Jobs Created	kW Installed	Products Installed	Energy Efficient Products Installed	Solar Products Installed	Water Products Installed	Contractor Count
Eureka	Humboldt	9/15/2015	"8,158"	0	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Humboldt County	Humboldt	9/15/2015	"8,158"	0	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Woodland	Yolo	9/15/2015	"13,902"	5	5	"$288,209"	1	"$42,675"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	1
West Sacramento	Yolo	9/15/2015	"13,755"	2	1	"$59,704"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	7
Yolo County Unincorporated	Yolo	9/15/2015	"4,583"	1	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Davis	Yolo	9/15/2015	"14,985"	4	3	"$264,170"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	2
Winters	Yolo	6/10/2015	"1,867"	1	1	"$29,984"	1	"$28,875"	1	"28,875"	1	"$28,875"	$0	$0	0	0	0	0	$0	$0	0	0	"$50,009"	0	0	0	0	4	2	0	2	0	2
Yolo County	Yolo	6/10/2015	"49,092"	13	10	"$642,067"	2	"$71,550"	1	"28,875"	1	"$28,875"	$0	$0	0	0	0	0	$0	$0	0	0	"$50,009"	0	0	0	0	4	2	0	2	0	12
Windsor	Sonoma	9/15/2015	"8,337"	0	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	2
Healdsburg	Sonoma	9/15/2015	"3,925"	1	1	"$111,679"	1	"$80,172"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Cloverdale	Sonoma	9/15/2015	"2,920"	1	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Sonoma	Sonoma	6/10/2015	"4,033"	2	2	"$200,553"	1	"$61,492"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	2
Sonoma County Unincorporated	Sonoma	3/24/2015	"48,227"	32	22	"$2,692,141"	16	"$518,972"	10	"312,524"	10	"$312,524"	"$12,226"	"$476,280"	"76,876"	"1,365,064"	0	0	$0	$0	21	374	"$541,263"	"33,897"	"1,252"	"35,328"	3	25	18	9	9	0	9
Sebastopol	Sonoma	3/24/2015	"2,459"	3	2	"$166,233"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Sonoma County	Sonoma	3/24/2015	"69,901"	39	27	"$3,170,606"	18	"$660,637"	10	"312,524"	10	"$312,524"	"$12,226"	"$476,280"	"76,876"	"1,365,064"	0	0	$0	$0	21	374	"$541,263"	"33,897"	"1,252"	"35,328"	3	25	18	9	9	0	13
San Francisco	San Francisco	3/24/2015	"190,538"	38	26	"$3,980,271"	12	"$377,953"	3	"65,968"	3	"$65,968"	"$4,161"	"$176,169"	"15,412"	"308,240"	0	0	$0	$0	5	101	"$114,250"	"15,412"	0	"18,285"	1	11	6	0	6	0	17
San Francisco County	San Francisco	3/24/2015	"190,538"	38	26	"$3,980,271"	12	"$377,953"	3	"65,968"	3	"$65,968"	"$4,161"	"$176,169"	"15,412"	"308,240"	0	0	$0	$0	5	101	"$114,250"	"15,412"	0	"18,285"	1	11	6	0	6	0	17
Placerville	El Dorado 	9/15/2015	"3,235"	3	2	"$119,265"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	3
South Lake Tahoe	El Dorado 	3/24/2015	"11,413"	0	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
El Dorado  County	El Dorado 	3/24/2015	"14,648"	3	2	"$119,265"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	3
Madera County Unincorporated	Madera	11/14/2014	"22,220"	204	163	"$6,588,650"	107	"$2,452,115"	75	"1,628,169"	75	"$1,628,169"	"$120,444"	"$4,792,016"	"635,439"	"11,821,069"	0	0	$0	$0	181	"3,407"	"$2,819,839"	"298,857"	"7,503"	"422,177"	14	206	142	88	54	0	25
Madera County		11/14/2014	"22,220"	204	163	"$6,588,650"	107	"$2,452,115"	75	"1,628,169"	75	"$1,628,169"	"$120,444"	"$4,792,016"	"635,439"	"11,821,069"	0	0	$0	$0	181	"3,407"	"$2,819,839"	"298,857"	"7,503"	"422,177"	14	206	142	88	54	0	25
El Cerrito	Contra Costa	9/15/2015	"8,171"	0	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	3
Danville	Contra Costa	9/15/2015	"15,843"	1	1	"$149,168"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Clayton	Contra Costa	9/15/2015	"4,146"	1	0	$0	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	1
Richmond	Contra Costa	6/10/2015	"28,456"	33	21	"$1,162,487"	11	"$290,655"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	9
Pleasant Hill	Contra Costa	6/10/2015	"11,229"	28	26	"$2,458,826"	13	"$255,316"	7	"126,734"	7	"$126,734"	"$8,645"	"$302,980"	"73,773"	"1,224,884"	0	0	$0	$0	18	306	"$219,492"	"17,769"	"1,655"	"31,174"	1	12	11	5	6	0	7
Pittsburg	Contra Costa	6/10/2015	"17,280"	35	23	"$1,202,442"	15	"$323,674"	9	"179,886"	9	"$179,886"	"$11,431"	"$373,861"	"120,606"	"1,991,846"	0	0	$0	$0	28	467	"$311,546"	"14,740"	"3,101"	"31,714"	2	10	18	14	4	0	4
Martinez	Contra Costa	6/10/2015	"12,400"	23	18	"$1,438,487"	11	"$163,606"	5	"70,958"	5	"$70,958"	"$3,849"	"$102,735"	"53,450"	"836,081"	0	0	$0	$0	12	183	"$122,892"	0	"1,553"	"7,929"	1	0	6	6	0	0	8
Lafayette	Contra Costa	6/10/2015	"8,082"	11	10	"$2,020,303"	4	"$96,961"	2	"58,086"	2	"$58,086"	"$4,492"	"$171,167"	"33,064"	"587,230"	0	0	$0	$0	8	152	"$100,600"	"11,488"	651	"11,543"	0	8	4	2	2	0	3
Antioch	Contra Costa	6/10/2015	"30,462"	96	71	"$3,754,638"	42	"$775,930"	27	"463,344"	27	"$463,344"	"$29,854"	"$881,821"	"349,832"	"5,447,915"	0	0	$0	$0	79	"1,247"	"$802,469"	"27,974"	"9,481"	"64,363"	4	19	33	28	5	0	8
Walnut Creek	Contra Costa	3/24/2015	"23,837"	48	43	"$5,217,170"	34	"$630,054"	27	"478,450"	27	"$478,450"	"$28,184"	"$915,702"	"305,695"	"5,081,157"	"152,075"	"1,520,750"	$684	"$8,486"	70	"1,180"	"$828,631"	"32,629"	"7,977"	"73,673"	4	22	44	33	8	3	4
San Ramon	Contra Costa	3/24/2015	"23,329"	40	35	"$4,197,676"	23	"$537,692"	12	"264,182"	12	"$264,182"	"$14,586"	"$472,085"	"168,599"	"2,788,881"	0	0	$0	$0	38	640	"$457,539"	"17,783"	"4,540"	"42,428"	2	12	19	13	6	0	6
San Pablo	Contra Costa	3/24/2015	"6,281"	2	1	"$57,744"	0	$0	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Oakley	Contra Costa	3/24/2015	"11,036"	67	50	"$2,672,227"	35	"$638,974"	27	"434,901"	27	"$434,901"	"$29,139"	"$1,098,346"	"207,380"	"3,608,818"	0	0	$0	$0	53	949	"$753,209"	"60,543"	"3,941"	"89,466"	4	41	44	29	15	0	10
Brentwood	Contra Costa	3/24/2015	"17,204"	90	59	"$4,329,414"	41	"$1,073,338"	33	"853,480"	33	"$853,480"	"$53,042"	"$1,959,462"	"378,934"	"6,442,568"	"148,500"	"2,722,500"	$668	"$19,144"	97	"1,698"	"$1,478,149"	"130,815"	"7,231"	"140,584"	7	88	55	29	24	2	14
Concord	Contra Costa	11/14/2014	"36,110"	337	253	"$19,577,496"	177	"$3,868,714"	133	"2,956,489"	133	"$2,956,489"	"$166,715"	"$6,261,373"	"1,273,643"	"22,415,200"	"346,445"	"4,175,050"	"$1,559"	"$25,566"	320	"5,748"	"$5,120,366"	"375,242"	"26,002"	"563,135"	25	251	248	138	105	5	38
Contra Costa County		11/14/2014	"253,866"	812	611	"$48,238,078"	406	"$8,654,912"	282	"5,886,510"	282	"$5,886,510"	"$349,937"	"$12,539,531"	"2,964,977"	"50,424,581"	"647,020"	"8,418,300"	"$2,912"	"$53,196"	725	"12,569"	"$10,194,894"	"688,983"	"66,132"	"1,056,009"	50	462	482	297	175	10	115
Alameda County Unincorporated	Alameda	9/15/2015	"38,783"	16	9	"$895,162"	2	"$54,470"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	4
Berkeley	Alameda	3/24/2015	"25,587"	21	13	"$1,985,240"	4	"$104,933"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	2
